ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
2	99999941	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
24	6751	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	1040	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
25	7303	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
37	7346	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
37	99999905	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
46	7190	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
57	7360	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
61	99999942	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
89	6559	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
114	99999937	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
136	6529	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
137	7208	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	151	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
139	152	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	157	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	253	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	3102	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	4787	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	6327	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6547	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
139	6554	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6562	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	7034	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
139	7066	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	99999917	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999941	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2
139	99999942	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2
