ORIG	DEST	N_TOT
68	65	1
69	68	1
69	69	1
121	122	1
122	122	1
146	147	1
147	147	1
184	184	1
184	185	1
185	185	1
185	186	1
186	186	1
188	184	1
210	210	1
210	242	1
215	210	1
216	215	1
219	216	1
219	219	1
222	222	1
222	223	1
223	223	1
226	222	1
226	226	1
227	219	1
228	227	1
242	242	1
242	250	1
250	250	1
251	251	1
251	979	1
253	251	1
255	258	1
258	258	1
258	302	1
300	300	1
300	554	1
302	300	1
302	302	1
311	311	1
311	312	1
312	312	1
312	313	1
313	313	1
319	311	1
319	319	1
320	319	1
320	320	1
321	320	1
321	321	1
330	321	1
332	1044	1
336	337	1
337	337	1
337	338	1
338	338	1
347	348	1
348	350	1
349	347	1
350	2583	1
371	371	1
371	2668	1
373	377	1
377	377	1
377	2843	1
381	371	1
391	2815	1
392	391	1
392	392	1
409	410	1
410	410	1
410	411	1
411	412	1
412	433	1
418	423	1
419	730	1
422	419	1
422	422	1
423	422	1
423	423	1
423	445	1
426	418	1
427	423	1
427	426	1
427	427	1
428	427	2
428	428	1
429	428	1
433	720	1
440	441	1
441	409	1
445	440	1
445	445	1
488	488	1
488	492	1
489	488	1
489	489	1
492	492	1
493	493	1
493	502	1
501	501	1
501	693	1
502	501	1
508	509	1
509	509	1
554	554	1
554	559	1
559	559	1
584	584	1
585	586	1
586	586	1
586	592	1
591	584	1
591	591	1
592	591	1
592	592	1
605	1008	1
622	622	1
622	657	1
623	622	1
623	623	1
657	657	1
657	4604	1
670	684	1
671	670	1
671	691	1
673	671	1
674	674	1
674	675	1
675	675	1
675	895	1
676	674	1
682	683	1
683	676	1
684	682	1
690	493	1
691	691	1
693	489	1
693	693	1
722	722	1
730	722	1
730	730	1
733	733	1
738	738	1
739	738	1
739	739	1
771	733	1
771	771	1
778	739	1
802	802	1
802	807	1
803	806	1
804	802	1
804	804	1
806	804	1
806	806	1
807	807	1
807	808	1
808	808	1
808	810	1
809	771	1
809	809	1
810	809	1
810	810	1
859	863	1
863	863	1
872	872	1
872	874	1
873	69	1
874	873	1
874	874	1
878	878	1
878	879	1
879	872	1
883	878	1
895	896	1
896	842	1
903	623	1
941	942	1
942	942	1
942	974	1
943	941	1
947	1376	1
951	962	1
953	947	1
954	953	1
955	954	1
956	955	1
956	956	1
962	956	1
969	969	1
970	969	1
970	970	1
973	970	1
973	973	1
974	974	1
974	978	1
978	978	1
978	979	1
979	979	1
979	986	1
979	1078	1
986	986	1
1008	973	1
1048	1054	1
1054	1054	1
1078	1078	1
1159	1163	1
1161	1159	1
1162	1161	1
1163	1296	1
1174	1294	1
1196	1174	1
1235	1235	1
1235	1236	1
1236	1236	1
1237	1235	1
1237	1237	1
1238	1237	1
1244	979	1
1244	1244	1
1252	1244	1
1252	1252	1
1265	1267	1
1267	1252	1
1267	1267	1
1294	1295	1
1295	1162	1
1296	1297	1
1297	1298	1
1375	1374	1
1376	1375	1
1412	226	1
1419	1412	1
1553	1553	1
1553	6917	1
1555	4634	1
1565	1553	1
1580	1580	1
1580	1953	1
1652	4634	1
1783	1783	1
1783	1785	1
1784	1783	1
1785	1785	1
1785	1799	1
1786	1784	1
1790	1793	1
1793	1793	1
1799	1799	1
1799	1821	1
1806	1818	1
1818	1818	1
1820	1820	1
1820	2067	1
1821	1820	1
1821	1821	1
1826	1826	1
1826	4634	1
1843	1826	1
1869	1869	1
1869	1871	1
1871	1871	1
1871	1889	1
1889	1889	1
1889	4604	1
1935	1843	1
1935	1869	1
1935	1935	2
1936	1935	2
1938	1936	1
1953	1953	1
1953	4604	1
2003	4634	1
2067	1806	1
2119	2119	1
2119	2121	1
2120	2119	1
2120	2120	1
2121	2121	1
2121	2124	1
2124	2192	1
2146	2147	1
