TourType,CEP,Depot_ID,Tour_ID,Trip_ID,Unique_ID,O_zone,D_zone,N_parcels,Traveltime,TourDepTime,TripDepTime,TripEndTime,VehType,OrigType,DestType,CO2
0,PostNL,1,1_60,1_60_0,1_60_0_0,2668,6610,13,0.2855555555555556,7.907950600524467,7.907999999999999,0.0,Van,Depot,HH,2723.971209105
0,PostNL,1,1_60,1_60_1,1_60_1_0,6610,6602,17,0.0911111111111111,7.907950600524467,8.627,0.0,Van,Depot,HH,214.39519725
0,PostNL,1,1_60,1_60_2,1_60_2_0,6602,6640,9,0.0436111111111111,7.907950600524467,9.285,0.0,Van,Depot,HH,119.82700873
0,PostNL,1,1_60,1_60_3,1_60_3_0,6640,6600,25,0.0536111111111111,7.907950600524467,9.628,0.0,Van,Depot,HH,265.05250134999994
0,PostNL,1,1_60,1_60_4,1_60_4_0,6600,6601,31,0.0297222222222222,7.907950600524467,10.515,0.0,Van,Depot,HH,97.96339371
0,PostNL,1,1_60,1_60_5,1_60_5_0,6601,6591,1,0.0555555555555555,7.907950600524467,11.578,0.0,Van,Depot,HH,289.95975905
0,PostNL,1,1_60,1_60_6,1_60_6_0,6591,6593,7,0.0394444444444444,7.907950600524467,11.667,0.0,Van,Depot,HH,133.93621188999998
0,PostNL,1,1_60,1_60_7,1_60_7_0,6593,6596,1,0.0458333333333333,7.907950600524467,11.94,0.0,Van,Depot,HH,167.71184651
0,PostNL,1,1_60,1_60_8,1_60_8_0,6596,6592,2,0.0311111111111111,7.907950600524467,12.019,0.0,Van,Depot,HH,437.90545279
0,PostNL,1,1_60,1_60_9,1_60_9_0,6592,6590,1,0.0397222222222222,7.907950600524467,12.117,0.0,Van,Depot,HH,279.14682276
0,PostNL,1,1_60,1_60_10,1_60_10_0,6590,6588,6,0.0347222222222222,7.907950600524467,12.19,0.0,Van,Depot,HH,276.39476111
0,PostNL,1,1_60,1_60_11,1_60_11_0,6588,6649,5,0.0261111111111111,7.907950600524467,12.425,0.0,Van,Depot,HH,415.14624152999994
0,PostNL,1,1_60,1_60_12,1_60_12_0,6649,6650,20,0.02,7.907950600524467,12.617,0.0,Van,Depot,HH,156.2219878525
0,PostNL,1,1_60,1_60_13,1_60_13_0,6650,6612,7,0.0305555555555555,7.907950600524467,13.304,0.0,Van,Depot,HH,314.5141227425
0,PostNL,1,1_60,1_60_14,1_60_14_0,6612,6613,2,0.02,7.907950600524467,13.568,0.0,Van,Depot,HH,388.38740905249995
0,PostNL,1,1_60,1_60_15,1_60_15_0,6613,6647,1,0.0533333333333333,7.907950600524467,13.655,0.0,Van,Depot,HH,229.7643895575
0,PostNL,1,1_60,1_60_16,1_60_16_0,6647,6589,11,0.0708333333333333,7.907950600524467,13.741,0.0,Van,Depot,HH,168.115197635
0,PostNL,1,1_60,1_60_17,1_60_17_0,6589,6609,14,0.0288888888888888,7.907950600524467,14.179,0.0,Van,Depot,HH,166.89398258
0,PostNL,1,1_60,1_60_18,1_60_18_0,6609,6652,2,0.0888888888888888,7.907950600524467,14.674,0.0,Van,Depot,HH,415.6287327400001
0,PostNL,1,1_60,1_60_19,1_60_19_0,6652,6597,1,0.02,7.907950600524467,14.83,0.0,Van,Depot,HH,316.86421923
0,PostNL,1,1_60,1_60_20,1_60_20_0,6597,6584,2,0.0730555555555555,7.907950600524467,14.883,0.0,Van,Depot,HH,427.36149456
0,PostNL,1,1_60,1_60_21,1_60_21_0,6584,6653,1,0.7819444444444444,7.907950600524467,15.023,0.0,Van,Depot,HH,393.53171506999996
0,PostNL,1,1_60,1_60_22,1_60_22_0,6653,2668,0,0.545,7.907950600524467,15.838,0.0,Van,Depot,HH,3086.2999503475
0,PostNL,1,1_61,1_61_0,1_61_0_0,2668,3502,4,0.4011111111111111,4.829394083652922,4.829,0.0,Van,Depot,HH,2629.1883054074997
0,PostNL,1,1_61,1_61_1,1_61_1_0,3502,3363,71,0.3597222222222222,4.829394083652922,5.364,0.0,Van,Depot,HH,798.7622336675
0,PostNL,1,1_61,1_61_2,1_61_2_0,3363,3481,8,0.1263888888888888,4.829394083652922,8.09,0.0,Van,Depot,HH,0.0
0,PostNL,1,1_61,1_61_3,1_61_3_0,3481,3359,82,0.13,4.829394083652922,8.482999999999999,0.0,Van,Depot,HH,692.14101327
0,PostNL,1,1_61,1_61_4,1_61_4_0,3359,3501,15,0.0791666666666666,4.829394083652922,11.347,0.0,Van,Depot,HH,609.1278069149998
0,PostNL,1,1_61,1_61_5,1_61_5_0,3501,2668,0,0.1741666666666666,4.829394083652922,11.925999999999998,0.0,Van,Depot,HH,2939.7106061425
0,PostNL,1,1_62,1_62_0,1_62_0_0,2668,5439,23,0.3080555555555556,7.525789720344192,7.526,0.0,Van,Depot,HH,4039.2109021625
0,PostNL,1,1_62,1_62_1,1_62_1_0,5439,5429,43,0.1663888888888889,7.525789720344192,8.601,0.0,Van,Depot,HH,273.64620439
0,PostNL,1,1_62,1_62_2,1_62_2_0,5429,5431,60,0.02,7.525789720344192,10.2,0.0,Van,Depot,HH,0.0
0,PostNL,1,1_62,1_62_3,1_62_3_0,5431,5493,54,0.0811111111111111,7.525789720344192,12.22,0.0,Van,Depot,HH,158.18924069000002
0,PostNL,1,1_62,1_62_4,1_62_4_0,5493,2668,0,0.3716666666666666,7.525789720344192,14.101,0.0,Van,Depot,HH,3680.0104838475
0,PostNL,1,1_63,1_63_0,1_63_0_0,2668,5445,19,0.2938888888888889,19.16739347214484,19.167,0.0,Van,Depot,HH,3863.5081017725
0,PostNL,1,1_63,1_63_1,1_63_1_0,5445,5435,15,0.1033333333333333,19.16739347214484,20.095,0.0,Van,Depot,HH,84.36937574000001
0,PostNL,1,1_63,1_63_2,1_63_2_0,5435,5436,27,0.0533333333333333,19.16739347214484,20.698,0.0,Van,Depot,HH,10.591903400000001
0,PostNL,1,1_63,1_63_3,1_63_3_0,5436,5438,33,0.0480555555555555,19.16739347214484,21.651,0.0,Van,Depot,HH,152.80495932
0,PostNL,1,1_63,1_63_4,1_63_4_0,5438,5437,52,0.0427777777777777,19.16739347214484,22.799,0.0,Van,Depot,HH,94.17349734
0,PostNL,1,1_63,1_63_5,1_63_5_0,5437,5493,27,0.1155555555555555,19.16739347214484,24.575,0.0,Van,Depot,HH,135.1343669
0,PostNL,1,1_63,1_63_6,1_63_6_0,5493,5426,7,0.1338888888888889,19.16739347214484,25.591,0.0,Van,Depot,HH,193.31874049
0,PostNL,1,1_63,1_63_7,1_63_7_0,5426,2668,0,0.2775,19.16739347214484,25.958,0.0,Van,Depot,HH,3508.0922975975
0,PostNL,1,1_64,1_64_0,1_64_0_0,2668,5440,24,0.2891666666666667,8.193900548831435,8.193999999999999,0.0,Van,Depot,HH,3757.1679550025
0,PostNL,1,1_64,1_64_1,1_64_1_0,5440,5435,17,0.0375,8.193900548831435,9.283,0.0,Van,Depot,HH,174.93600371
0,PostNL,1,1_64,1_64_2,1_64_2_0,5435,5434,31,0.0258333333333333,8.193900548831435,9.887,0.0,Van,Depot,HH,72.79698608
0,PostNL,1,1_64,1_64_3,1_64_3_0,5434,5443,29,0.0388888888888888,8.193900548831435,10.946,0.0,Van,Depot,HH,86.91988539
0,PostNL,1,1_64,1_64_4,1_64_4_0,5443,5441,26,0.0461111111111111,8.193900548831435,11.952,0.0,Van,Depot,HH,42.62673389
0,PostNL,1,1_64,1_64_5,1_64_5_0,5441,5444,53,0.0511111111111111,8.193900548831435,12.865,0.0,Van,Depot,HH,71.55036226
0,PostNL,1,1_64,1_64_6,1_64_6_0,5444,2668,0,0.3216666666666666,8.193900548831435,14.683,0.0,Van,Depot,HH,3633.1117600875
0,PostNL,1,1_65,1_65_0,1_65_0_0,2668,5486,1,0.2544444444444444,14.830667421878656,14.831,0.0,Van,Depot,HH,3496.6038783725
0,PostNL,1,1_65,1_65_1,1_65_1_0,5486,5454,36,0.0858333333333333,14.830667421878656,15.118,0.0,Van,Depot,HH,325.15247466
0,PostNL,1,1_65,1_65_2,1_65_2_0,5454,5453,57,0.0933333333333333,14.830667421878656,16.404,0.0,Van,Depot,HH,59.061306200000004
0,PostNL,1,1_65,1_65_3,1_65_3_0,5453,5440,22,0.0433333333333333,14.830667421878656,18.398,0.0,Van,Depot,HH,17.53016551
0,PostNL,1,1_65,1_65_4,1_65_4_0,5440,5427,24,0.0888888888888888,14.830667421878656,19.174,0.0,Van,Depot,HH,269.9373056425
0,PostNL,1,1_65,1_65_5,1_65_5_0,5427,5492,16,0.1033333333333333,14.830667421878656,20.063,0.0,Van,Depot,HH,250.31752589500002
0,PostNL,1,1_65,1_65_6,1_65_6_0,5492,5425,7,0.0530555555555555,14.830667421878656,20.7,0.0,Van,Depot,HH,296.4466461775
0,PostNL,1,1_65,1_65_7,1_65_7_0,5425,5424,8,0.0505555555555555,14.830667421878656,20.986,0.0,Van,Depot,HH,91.82093762
0,PostNL,1,1_65,1_65_8,1_65_8_0,5424,5422,2,0.0747222222222222,14.830667421878656,21.303,0.0,Van,Depot,HH,191.12473149250002
0,PostNL,1,1_65,1_65_9,1_65_9_0,5422,5420,6,0.1013888888888888,14.830667421878656,21.445,0.0,Van,Depot,HH,19.992863432500002
0,PostNL,1,1_65,1_65_10,1_65_10_0,5420,5491,1,0.1088888888888888,14.830667421878656,21.746,0.0,Van,Depot,HH,315.6869652725
0,PostNL,1,1_65,1_65_11,1_65_11_0,5491,2668,0,0.24,14.830667421878656,21.888,0.0,Van,Depot,HH,3295.5421162475
